circuitIdErgast,circuitName,locality,country,lat,long,url,circuitId
61,AVUS,Berlin,Germany,52.4806,13.2514,http://en.wikipedia.org/wiki/AVUS,avus
29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,adelaide
64,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,ain-diab
58,Aintree,Liverpool,UK,53.4769,-2.94056,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,aintree
1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,albert_park
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,imola
76,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,http://en.wikipedia.org/wiki/Mugello_Circuit,mugello
14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,monza
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,rodriguez
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,jacarepagua
75,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,http://en.wikipedia.org/wiki/Algarve_International_Circuit,portimao
18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,interlagos
25,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,galvez
27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,estoril
3,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,bahrain
73,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,http://en.wikipedia.org/wiki/Baku_City_Circuit,baku
38,Brands Hatch,Kent,UK,51.3569,0.263056,http://en.wikipedia.org/wiki/Brands_Hatch,brands_hatch
68,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,http://en.wikipedia.org/wiki/Buddh_International_Circuit,buddh
51,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,http://en.wikipedia.org/wiki/Charade_Circuit,charade
66,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,http://en.wikipedia.org/wiki/Circuit_Bremgarten,bremgarten
7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,villeneuve
52,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,tremblant
39,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,http://en.wikipedia.org/wiki/Circuit_Zandvoort,zandvoort
34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,ricard
4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,catalunya
6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,http://en.wikipedia.org/wiki/Circuit_de_Monaco,monaco
8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,magny_cours
67,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,http://en.wikipedia.org/wiki/Pedralbes_Circuit,pedralbes
13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,spa
69,Circuit of the Americas,Austin,USA,30.1328,-97.6411,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,americas
59,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,http://en.wikipedia.org/wiki/Circuito_da_Boavista,boavista
26,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez,jerez
37,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,http://en.wikipedia.org/wiki/Detroit_street_circuit,detroit
41,Dijon-Prenois,Dijon,France,47.3625,4.89913,http://en.wikipedia.org/wiki/Dijon-Prenois,dijon
31,Donington Park,Castle Donington,UK,52.8306,-1.37528,http://en.wikipedia.org/wiki/Donington_Park,donington
42,Fair Park,Dallas,USA,32.7774,-96.7587,http://en.wikipedia.org/wiki/Fair_Park,dallas
16,Fuji Speedway,Oyama,Japan,35.3717,138.927,http://en.wikipedia.org/wiki/Fuji_Speedway,fuji
10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,http://en.wikipedia.org/wiki/Hockenheimring,hockenheimring
