constructorIdErgast,name,constructorId,url,nationality
147,AFM,afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,German
39,AGS,ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,French
54,ATS,ats,http://en.wikipedia.org/wiki/ATS_(wheels),Italian
161,Adams,adams,http://en.wikipedia.org/wiki/Adams_(constructor),American
51,Alfa Romeo,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Swiss
213,AlphaTauri,alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,Italian
214,Alpine F1 Team,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,French
126,Alta,alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,British
78,Amon,amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),New Zealander
38,Andrea Moda,moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,Italian
71,Apollon,apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Swiss
21,Arrows,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,British
137,Arzani-Volpini,arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Italian
152,Aston Butterworth,butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth,British
117,Aston Martin,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,British
16,BAR,bar,http://en.wikipedia.org/wiki/British_American_Racing,British
145,BMW,bmw,http://en.wikipedia.org/wiki/BMW,German
2,BMW Sauber,bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,German
66,BRM,brm,http://en.wikipedia.org/wiki/BRM,British
197,BRM-Ford,brm-ford,http://en.wikipedia.org/wiki/BRM,British
94,BRP,brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,British
104,Behra-Porsche,behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Italian
85,Bellasi,bellasi,http://en.wikipedia.org/wiki/Bellasi,Swiss
22,Benetton,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Italian
70,Boro,boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Dutch
34,Brabham,brabham,http://en.wikipedia.org/wiki/Brabham,British
204,Brabham-Alfa Romeo,brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,British
181,Brabham-BRM,brabham-brm,http://en.wikipedia.org/wiki/Brabham,British
183,Brabham-Climax,brabham-climax,http://en.wikipedia.org/wiki/Brabham,British
182,Brabham-Ford,brabham-ford,http://en.wikipedia.org/wiki/Brabham,British
191,Brabham-Repco,brabham-repco,http://en.wikipedia.org/wiki/Brabham,British
23,Brawn,brawn,http://en.wikipedia.org/wiki/Brawn_GP,British
139,Bromme,bromme,http://en.wikipedia.org/wiki/Bromme,American
130,Bugatti,bugatti,http://en.wikipedia.org/wiki/Bugatti,French
207,Caterham,caterham,http://en.wikipedia.org/wiki/Caterham_F1,Malaysian
115,Christensen,vhristensen,http://en.wikipedia.org/wiki/Christensen_(constructor),American
153,Cisitalia,cisitalia,http://en.wikipedia.org/wiki/Cisitalia,Italian
42,Coloni,coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Italian
125,Connaught,connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,British
84,Connew,connew,http://en.wikipedia.org/wiki/Connew,British
87,Cooper,cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
193,Cooper-ATS,cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
178,Cooper-Alfa Romeo,cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
195,Cooper-BRM,cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
169,Cooper-Borgward,cooper-borgward,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
171,Cooper-Castellotti,cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
170,Cooper-Climax,cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
192,Cooper-Ferrari,cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
186,Cooper-Ford,cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
167,Cooper-Maserati,cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,British
