raceIdErgast,season,round,circuitId,raceName,date,url
833.0,1950,1,silverstone,British Grand Prix,1950-05-13,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
834.0,1950,2,monaco,Monaco Grand Prix,1950-05-21,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
835.0,1950,3,indianapolis,Indianapolis 500,1950-05-30,http://en.wikipedia.org/wiki/1950_Indianapolis_500
836.0,1950,4,bremgarten,Swiss Grand Prix,1950-06-04,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
837.0,1950,5,spa,Belgian Grand Prix,1950-06-18,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
838.0,1950,6,reims,French Grand Prix,1950-07-02,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
839.0,1950,7,monza,Italian Grand Prix,1950-09-03,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
825.0,1951,1,bremgarten,Swiss Grand Prix,1951-05-27,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
826.0,1951,2,indianapolis,Indianapolis 500,1951-05-30,http://en.wikipedia.org/wiki/1951_Indianapolis_500
827.0,1951,3,spa,Belgian Grand Prix,1951-06-17,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
828.0,1951,4,reims,French Grand Prix,1951-07-01,http://en.wikipedia.org/wiki/1951_French_Grand_Prix
829.0,1951,5,silverstone,British Grand Prix,1951-07-14,http://en.wikipedia.org/wiki/1951_British_Grand_Prix
830.0,1951,6,nurburgring,German Grand Prix,1951-07-29,http://en.wikipedia.org/wiki/1951_German_Grand_Prix
831.0,1951,7,monza,Italian Grand Prix,1951-09-16,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
832.0,1951,8,pedralbes,Spanish Grand Prix,1951-10-28,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
817.0,1952,1,bremgarten,Swiss Grand Prix,1952-05-18,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
818.0,1952,2,indianapolis,Indianapolis 500,1952-05-30,http://en.wikipedia.org/wiki/1952_Indianapolis_500
819.0,1952,3,spa,Belgian Grand Prix,1952-06-22,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
820.0,1952,4,essarts,French Grand Prix,1952-07-06,http://en.wikipedia.org/wiki/1952_French_Grand_Prix
821.0,1952,5,silverstone,British Grand Prix,1952-07-19,http://en.wikipedia.org/wiki/1952_British_Grand_Prix
822.0,1952,6,nurburgring,German Grand Prix,1952-08-03,http://en.wikipedia.org/wiki/1952_German_Grand_Prix
823.0,1952,7,zandvoort,Dutch Grand Prix,1952-08-17,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
824.0,1952,8,monza,Italian Grand Prix,1952-09-07,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
808.0,1953,1,galvez,Argentine Grand Prix,1953-01-18,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
809.0,1953,2,indianapolis,Indianapolis 500,1953-05-30,http://en.wikipedia.org/wiki/1953_Indianapolis_500
810.0,1953,3,zandvoort,Dutch Grand Prix,1953-06-07,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
811.0,1953,4,spa,Belgian Grand Prix,1953-06-21,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
812.0,1953,5,reims,French Grand Prix,1953-07-05,http://en.wikipedia.org/wiki/1953_French_Grand_Prix
813.0,1953,6,silverstone,British Grand Prix,1953-07-18,http://en.wikipedia.org/wiki/1953_British_Grand_Prix
814.0,1953,7,nurburgring,German Grand Prix,1953-08-02,http://en.wikipedia.org/wiki/1953_German_Grand_Prix
815.0,1953,8,bremgarten,Swiss Grand Prix,1953-08-23,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
816.0,1953,9,monza,Italian Grand Prix,1953-09-13,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
799.0,1954,1,galvez,Argentine Grand Prix,1954-01-17,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
800.0,1954,2,indianapolis,Indianapolis 500,1954-05-31,http://en.wikipedia.org/wiki/1954_Indianapolis_500
801.0,1954,3,spa,Belgian Grand Prix,1954-06-20,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
802.0,1954,4,reims,French Grand Prix,1954-07-04,http://en.wikipedia.org/wiki/1954_French_Grand_Prix
803.0,1954,5,silverstone,British Grand Prix,1954-07-17,http://en.wikipedia.org/wiki/1954_British_Grand_Prix
804.0,1954,6,nurburgring,German Grand Prix,1954-08-01,http://en.wikipedia.org/wiki/1954_German_Grand_Prix
805.0,1954,7,bremgarten,Swiss Grand Prix,1954-08-22,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
806.0,1954,8,monza,Italian Grand Prix,1954-09-05,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
807.0,1954,9,pedralbes,Spanish Grand Prix,1954-10-24,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
792.0,1955,1,galvez,Argentine Grand Prix,1955-01-16,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
793.0,1955,2,monaco,Monaco Grand Prix,1955-05-22,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix
794.0,1955,3,indianapolis,Indianapolis 500,1955-05-30,http://en.wikipedia.org/wiki/1955_Indianapolis_500
795.0,1955,4,spa,Belgian Grand Prix,1955-06-05,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
796.0,1955,5,zandvoort,Dutch Grand Prix,1955-06-19,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix
797.0,1955,6,aintree,British Grand Prix,1955-07-16,http://en.wikipedia.org/wiki/1955_British_Grand_Prix
798.0,1955,7,monza,Italian Grand Prix,1955-09-11,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix
784.0,1956,1,galvez,Argentine Grand Prix,1956-01-22,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
785.0,1956,2,monaco,Monaco Grand Prix,1956-05-13,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix
786.0,1956,3,indianapolis,Indianapolis 500,1956-05-30,http://en.wikipedia.org/wiki/1956_Indianapolis_500
787.0,1956,4,spa,Belgian Grand Prix,1956-06-03,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
788.0,1956,5,reims,French Grand Prix,1956-07-01,http://en.wikipedia.org/wiki/1956_French_Grand_Prix
789.0,1956,6,silverstone,British Grand Prix,1956-07-14,http://en.wikipedia.org/wiki/1956_British_Grand_Prix
790.0,1956,7,nurburgring,German Grand Prix,1956-08-05,http://en.wikipedia.org/wiki/1956_German_Grand_Prix
791.0,1956,8,monza,Italian Grand Prix,1956-09-02,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix
776.0,1957,1,galvez,Argentine Grand Prix,1957-01-13,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix
777.0,1957,2,monaco,Monaco Grand Prix,1957-05-19,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
778.0,1957,3,indianapolis,Indianapolis 500,1957-05-30,http://en.wikipedia.org/wiki/1957_Indianapolis_500
779.0,1957,4,essarts,French Grand Prix,1957-07-07,http://en.wikipedia.org/wiki/1957_French_Grand_Prix
780.0,1957,5,aintree,British Grand Prix,1957-07-20,http://en.wikipedia.org/wiki/1957_British_Grand_Prix
781.0,1957,6,nurburgring,German Grand Prix,1957-08-04,http://en.wikipedia.org/wiki/1957_German_Grand_Prix
782.0,1957,7,pescara,Pescara Grand Prix,1957-08-18,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix
783.0,1957,8,monza,Italian Grand Prix,1957-09-08,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
765.0,1958,1,galvez,Argentine Grand Prix,1958-01-19,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
766.0,1958,2,monaco,Monaco Grand Prix,1958-05-18,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
767.0,1958,3,zandvoort,Dutch Grand Prix,1958-05-26,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix
768.0,1958,4,indianapolis,Indianapolis 500,1958-05-30,http://en.wikipedia.org/wiki/1958_Indianapolis_500
769.0,1958,5,spa,Belgian Grand Prix,1958-06-15,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix
770.0,1958,6,reims,French Grand Prix,1958-07-06,http://en.wikipedia.org/wiki/1958_French_Grand_Prix
771.0,1958,7,silverstone,British Grand Prix,1958-07-19,http://en.wikipedia.org/wiki/1958_British_Grand_Prix
